Type,ID,Name,Event
"EAN13","8802534880460","674788 韓國Sweetory彩虹口香糖",""
"EAN13","8802534888886","735501 韓國Sweetory葡萄QQ可可球",""
"EAN13","8802534888893","776527 韓國Sweetory蜂蜜奶油風味杏仁果",""
"EAN13","8802534888909","776530 韓國Sweetory海苔杏仁果",""
"EAN13","8802534889005","914964 韓國Sweetory優格QQ白可可球",""
"EAN13","8802534889098","606193 韓國Sweetory卡門培爾起司餅乾",""
"EAN13","8802534889104","606163 韓國Sweetory切達起司餅乾",""
"EAN13","8802667002937","308442 韓國MB寶寶香氛潔淨沐浴乳1L",""
"EAN13","8802667002944","369531 韓國 MB白麝香氛保濕身體乳 500ml",""
"EAN13","8802667003231","308131 韓國MB白麝香氛潔淨沐浴乳1L",""
"EAN13","8802667003248","369526 韓國MB寶寶香氛保濕身體乳500ml",""
"EAN13","8802667005457","553463 韓國MB積雪草舒緩洗髮精",""
"EAN13","8802667007468","519297 韓國MB大馬士革玫瑰洗髮精500ml",""
"EAN13","8802667007475","519423 韓國MB大馬士革玫瑰護髮乳 500ml",""
"EAN13","8802667008380","630864 韓國 Milk Baobab 白麝香氛旅行組",""
"EAN13","8803348037446","519732 韓國AROUND ME蜜桃香氛沐浴乳",""
"EAN13","8803348045991","300190 韓國AROUND ME積雪草舒緩沐浴乳",""
"EAN13","8808244530237","785353 韓國濟州SamDaSoo火山岩盤礦泉水",""
"EAN13","8809260944886","601334 韓國X5花生巧克力風味捲心酥",""
"EAN13","8809301761229","595696 韓國Ariel卸妝潔顏濕巾15入",""
"EAN13","8809301765883","597981 G)韓國Ariul眼唇卸妝棉 （30片）",""
"EAN13","8809329050503","679466 韓國YOUUS櫻花氣泡飲",""
"EAN13","8809426953318","532321 NF蘆薈保濕舒緩噴霧150ml",""
"EAN13","8809477172188","586453 韓國Rucipello牙膏旅行組-森林",""
"EAN13","8809479546024","532225 NF蘆薈保濕舒緩凝膠300ml",""
"EAN13","8809494810919","508012 韓國爸爸的農場蘋果汁",""
"EAN13","8809521670776","519596 LePlein 濟州擴香瓶涉地油菜花開",""
"EAN13","8809521671100","519634 LePlein 濟州擴香瓶挾才清晨海風",""
"EAN13","8850157400022","096524 泰國Bento辣味魷魚-香蒜口味",""
